video name,name,duration,link,thumbnail,created_time,modified_time,release_time
LAPD Graduation Class 5-2017,,4619,https://vimeo.com/241912170,https://i.vimeocdn.com/video/665823809-e8cb579619e68729e2f564f40c0d1f3f6aab8e551b457dcfa3730e91670575d8-d_1920x1080?r=pad,2017-11-08T17:38:53+00:00,2023-03-28T05:40:09+00:00,2017-11-08T17:38:53+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 12-16,,4623,https://vimeo.com/223593896,https://i.vimeocdn.com/video/642495276-83d1ae57cfc47e8c15f5db8e6adeb6b34386c29790049ecce1c33341f2a73cc9-d_1920x1080?r=pad,2017-06-29T10:54:54+00:00,2022-09-10T18:42:36+00:00,2017-06-29T10:54:54+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 6-16,,4629,https://vimeo.com/195102704,https://i.vimeocdn.com/video/607269369-fc935e9c6442c45626c1b1d6e357cc1ddd040cac9decd3dbe9dd63831813aa79-d_1920x1080?r=pad,2016-12-10T15:12:58+00:00,2023-03-13T00:40:19+00:00,2016-12-10T15:12:58+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 5-15,,4694,https://vimeo.com/147493165,https://i.vimeocdn.com/video/546229646-a2f36a6db9dede59e4e4d7066ba525aa4a798547cd528da6a21250dc25661dce-d_1920x1080?r=pad,2015-12-01T18:11:31+00:00,2023-02-20T22:52:10+00:00,2015-12-01T18:11:31+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 11B-15,,4703,https://vimeo.com/168822705,https://i.vimeocdn.com/video/573578511-be4fb8eb3aa57c4abf038c4490992c07e1a9658a41c10b0498e82e5f943eec6f-d_1920x1080?r=pad,2016-05-31T18:31:23+00:00,2023-02-20T22:42:07+00:00,2016-05-31T18:31:23+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 1-15,,4705,https://vimeo.com/135761212,https://i.vimeocdn.com/video/530483486-2363b73e7dc7f39ddec8ff7e48dc6b023a7677a92f7a5f254f5efd7972a3de5d-d_1920x1080?r=pad,2015-08-08T20:51:20+00:00,2023-04-18T23:00:24+00:00,2015-08-08T20:51:20+00:00
Los Angeles Police Department Recruit Officer Graduation Ceremony for Class 10-2015,,4705,https://vimeo.com/135714885,https://i.vimeocdn.com/video/582485864-e5622f8f0faa69063ed2f371938ce43719ba9f43d924565325c41db331f80b49-d_1920x1080?r=pad,2015-08-07T22:47:29+00:00,2023-04-23T06:09:12+00:00,2015-08-07T22:47:29+00:00
LAPD Recruit Officer Graduation Ceremony for Class 10-22,,4735,https://vimeo.com/817976678,https://i.vimeocdn.com/video/1656286207-2c69b517b4a20ef88a845260180123c409e8e8d1dd337360f380049e36efe8d4-d_1920x1080?r=pad,2023-04-15T19:26:31+00:00,2023-05-07T21:13:43+00:00,2023-04-15T19:26:31+00:00
LAPD Recruit Classes 12-21 & 1-22 Graduation Ceremony,,4747,https://vimeo.com/728283765,https://i.vimeocdn.com/video/1465906730-e5df0e84a8640000e59ce508ea932a57d8c4c1be27cc5c80d8f07a602b4bc953-d_1920x1080?r=pad,2022-07-08T22:22:07+00:00,2023-03-06T05:39:12+00:00,2022-07-08T22:22:07+00:00
LAPD Recruit Officer Graduation Ceremony for Class 2-22,,4753,https://vimeo.com/739298320,https://i.vimeocdn.com/video/1488014104-6e66f26ce20a8c124f61490f47850ba6e09ee69e56ba7f49a3dd67bafe817132-d_1920x1080?r=pad,2022-08-13T23:23:10+00:00,2023-05-03T23:20:42+00:00,2022-08-13T23:23:10+00:00
